sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort
021620616A000,8.0,7.368935704231262,5.489526867866516,0.9149211446444193,1.1428571428571428,68.61908584833145,0.800556001563867,occasional_a
0911912007000,74.0,5.499439597129822,68.50056040287018,11.416760067145029,17.0,92.56832486874349,0.6715741215967664,occasional_a
0915912079000,0.0,3.8240251541137695,3.8240251541137695,0.6373375256856283,3.0,,0.21244584189520943,occasional_a
0916435003000,3.0,4.378245234489441,1.378245234489441,0.2297075390815735,3.7142857142857144,45.9415078163147,0.06184433744503901,occasional_a
0928948004000,3.0,7.007999539375305,4.672160983085632,0.7786934971809387,4.142857142857143,155.73869943618774,0.18796049931953693,occasional_a
09409063095ES,2.0,4.184080719947815,6.184080719947815,1.0306801199913025,16.142857142857142,309.20403599739075,0.06384744106140812,occasional_a
1161073K00000,1.0,2.9378949403762817,3.9378949403762817,0.656315823396047,5.714285714285714,393.7894940376282,0.11485526909430822,occasional_a
7171584A00ZM2,0.0,5.208117365837097,5.208117365837097,0.8680195609728495,5.714285714285714,,0.15190342317024866,occasional_a
7171754GA0000,0.0,4.177365303039551,4.177365303039551,0.6962275505065918,2.4285714285714284,,0.28668193256153784,occasional_a
7181165DD1799,1.0,4.2287150621414185,3.2287150621414185,0.5381191770235697,2.142857142857143,322.87150621414185,0.2511222826109992,occasional_a
7287078A33000,2.0,3.13954758644104,5.13954758644104,0.85659126440684,3.4285714285714284,256.977379322052,0.24983911878532833,occasional_a
76237M70F005PK,1.0,9.168452262878418,8.168452262878418,1.3614087104797363,11.714285714285714,816.8452262878418,0.11621781674827018,occasional_a
0914806007000,12.0,4.598461723327636,12.089212989807129,2.0148688316345216,3.142857142857143,100.74344158172607,0.6410946282473478,occasional_b
0940910318000,6.0,12.824194252490997,18.824194252490997,3.1373657087484994,5.571428571428571,313.73657087485,0.5631169220830641,occasional_b
1161061M01000,2.0,3.2713972330093384,1.2713972330093384,0.21189953883488974,1.4285714285714286,63.56986165046692,0.1483296771844228,occasional_b
3565050J10000,1.0,3.313942700624466,4.313942700624466,0.7189904501040777,0.5714285714285714,431.3942700624466,1.258233287682136,occasional_b
3882165J00000,5.0,1.9022393822669983,6.902239382266998,1.1503732303778331,1.1428571428571428,138.04478764533997,1.006576576580604,occasional_b
41710M76M00000,15.0,4.0514929095904035,15.033023436864216,2.505503906144036,4.0,100.22015624576144,0.626375976536009,occasional_b
4321057M100BK,0.0,6.042073369026184,6.042073369026184,1.0070122281710308,1.1428571428571428,,0.881135699649652,occasional_b
4321071L91QC8,0.0,5.826152761777242,5.826152761777242,0.971025460296207,1.7142857142857142,,0.5664315185061207,occasional_b
4321079K510BK,3.0,4.444724893569946,7.444724893569946,1.2407874822616576,2.4285714285714284,248.15749645233154,0.5109124926959767,occasional_b
4325079P00ZH1,9.0,3.012695269151167,7.2246926481073555,1.2041154413512258,2.5714285714285716,80.2743627567484,0.4682671160810322,occasional_b
4325251K20DB7,16.0,2.55700843334198,15.995300126075744,2.6658833543459575,1.8571428571428572,99.9706257879734,1.4354756523401309,occasional_b
44119M53M00000,0.0,6.647404193878174,6.647404193878174,1.1079006989796956,1.4285714285714286,,0.7755304892857868,occasional_b
4982162A51000,46.0,2.410669684410095,43.589330315589905,7.264888385931651,1.4285714285714286,94.75941372954327,5.085421870152156,occasional_b
58230M79G01000,3.0,2.018454841205052,5.0184548412050525,0.8364091402008421,1.8571428571428572,167.28182804016842,0.45037415241583806,occasional_b
68001M74L21000,13.0,2.503005304119804,10.496994695880197,1.7494991159800328,2.0,80.74611304523228,0.8747495579900164,occasional_b
69330M74L00000,6.0,1.277497112751007,6.033418238162994,1.0055697063604991,0.7142857142857143,100.55697063604991,1.4077975889046987,occasional_b
71751M67P005PK,5.0,1.3950594663619995,3.6049405336380005,0.6008234222730001,1.2857142857142858,72.09881067276001,0.4673071062123334,occasional_b
7178277KA05PK,24.0,2.0873370051383975,21.97404319047928,3.6623405317465463,2.5714285714285716,91.55851329366367,1.4242435401236568,occasional_b
7382273R505PK,1.0,2.578104615211487,3.578104615211487,0.5963507692019144,1.1428571428571428,357.8104615211487,0.5218069230516752,occasional_b
82504M84500000,3.0,3.702055275440216,6.702055275440216,1.1170092125733693,4.285714285714286,223.40184251467386,0.2606354829337862,occasional_b
83755M74L005PK,14.0,1.763986274600029,12.236013725399971,2.0393356208999953,1.4285714285714286,87.40009803857122,1.4275349346299966,occasional_b
83811M74L01000,7.0,1.868249092783247,5.1317509072167535,0.855291817869459,1.8571428571428572,73.31072724595363,0.4605417480835548,occasional_b
8458080J01000,1.0,3.4654581546783447,4.465458154678345,0.7442430257797241,1.4285714285714286,446.5458154678345,0.5209701180458068,occasional_b
8471573K00RX0OTS,0.0,2.8417738676071167,2.8417738676071167,0.47362897793451947,1.1428571428571428,,0.41442535569270456,occasional_b
8485165D006GS,1.0,6.096846580505371,7.096846580505371,1.1828077634175618,1.4285714285714286,709.6846580505371,0.8279654343922932,occasional_b
87211M76G00T01,1.0,1.9279871781667073,1.0172193050384521,0.16953655083974203,0.8571428571428571,101.72193050384521,0.19779264264636573,occasional_b
0915918024000,2.0,5.412629842758179,7.412629842758179,1.235438307126363,1.1428571428571428,370.63149213790894,1.0810085187355678,occasional_c
