sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
71736M74T00000,direct_random_forest_log1p,Direct Random Forest log1p,6,51,77.0,46.34690115420418,48.42014335713765,-30.653098845795828,62.883303061217724,54.66225446013987,39.33229149842978,49,42,51,16,779,fit,True,54.66225446013987,mean_rolling_3m_wmape_percent,-39.809219280254325,50_to_70,under_70
84510M80T11000,direct_random_forest_log1p,Direct Random Forest log1p,5,35,110.0,30.549214337131193,99.90777138388788,-79.45078566286881,90.82524671262534,63.774853574403224,62.64173973723415,30,23,35,11,779,fit,True,63.774853574403224,mean_rolling_3m_wmape_percent,-72.22798696624437,50_to_70,under_70
82510M75T20000,direct_extra_trees_log1p,Direct Extra Trees log1p,1,3,6.0,2.6086918817703255,5.099838524267135,-3.391308118229674,84.99730873778559,65.89229864619921,84.99730873778559,3,2,3,0,779,fit,True,65.89229864619921,mean_rolling_3m_wmape_percent,-56.52180197049457,50_to_70,under_70
7755078K000PG,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,179.0,204.0682872918427,121.21610711233572,25.068287291842708,67.71849559348364,68.83152841565648,52.40849951010998,151,118,162,135,779,fit,True,68.83152841565648,mean_rolling_3m_wmape_percent,14.004629771979166,50_to_70,under_70
3512052S10000,direct_random_forest,Direct Random Forest,9,162,471.0,282.2387997597538,320.13598961776165,-188.76120024024618,67.96942454729547,70.53696265435858,65.15851254746835,160,133,162,161,779,fit,True,70.53696265435858,mean_rolling_3m_wmape_percent,-40.07668794909685,70_to_100,under_100
83934M75T000CB,direct_hist_squared,Direct Hist Gradient Squared,4,30,17.0,24.64298805944298,18.430395305917493,7.64298805944299,108.41409003480878,70.55707636066535,58.899004527707376,22,14,30,3,779,fit,True,70.55707636066535,mean_rolling_3m_wmape_percent,44.958753290841116,70_to_100,under_100
3570186R00000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,217.0,173.2375994276148,146.71675797476115,-43.76240057238518,67.61140920495906,73.41328136052428,69.35352935492173,160,122,162,131,779,fit,True,73.41328136052428,mean_rolling_3m_wmape_percent,-20.167004872066904,70_to_100,under_100
82110M55T10000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,153,211.0,140.89138660774398,156.37618723887414,-70.108613392256,74.11193708003513,74.06779249715176,64.39665247342249,136,112,153,47,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,74.06779249715176,mean_rolling_3m_wmape_percent,-33.226830991590525,70_to_100,under_100
7171152S005PK,direct_random_forest_log1p,Direct Random Forest log1p,9,162,321.0,156.53961408026453,240.62411673659184,-164.46038591973547,74.96078403009092,75.10788029093558,75.26013118800068,160,124,162,81,779,fit,True,75.10788029093558,mean_rolling_3m_wmape_percent,-51.23376508402975,70_to_100,under_100
3658354P01000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,210.0,217.9450737538616,149.3596428265085,7.945073753861603,71.12363944119453,76.49827424432179,67.30180896611927,150,111,162,139,779,fallback_hist_poisson_xgboost_missing,True,76.49827424432179,mean_rolling_3m_wmape_percent,3.783368454219811,70_to_100,under_100
3552686R20000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,191.0,137.8428037346754,146.6047383052678,-53.15719626532458,76.756407489669,79.31684547924264,72.77361907808661,151,107,162,43,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,79.31684547924264,mean_rolling_3m_wmape_percent,-27.830992809070462,70_to_100,under_100
38450M80T10000,direct_hist_squared,Direct Hist Gradient Squared,4,26,18.0,21.218541777195345,19.399094209610084,3.218541777195348,107.77274560894492,79.42451614403255,61.097239089519064,20,12,26,2,779,fit,True,79.42451614403255,mean_rolling_3m_wmape_percent,17.88078765108527,70_to_100,under_100
83940M55T010PG,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,616.0,205.0729878249603,492.93235787896197,-410.92701217503975,80.02148666866266,79.96708284222537,77.36121795551585,149,132,162,142,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,79.96708284222537,mean_rolling_3m_wmape_percent,-66.70893054789607,70_to_100,under_100
83932M75T000CB,direct_hist_squared,Direct Hist Gradient Squared,4,30,16.0,24.64298805944298,19.126967898887607,8.64298805944299,119.54354936804754,80.09365133260927,60.0490887153605,22,13,30,3,779,fit,True,80.09365133260927,mean_rolling_3m_wmape_percent,54.01867537151869,70_to_100,under_100
35601M74TA0000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,117,226.0,82.04659220120901,199.97360035357818,-143.95340779879106,88.48389396176026,80.1534857137934,81.14006420759756,103,78,117,3,779,fallback_hist_poisson_xgboost_missing,True,80.1534857137934,mean_rolling_3m_wmape_percent,-63.696198141058,70_to_100,under_100
36250M74T55000,direct_hist_squared,Direct Hist Gradient Squared,3,12,17.0,9.651737006634011,13.85362905214469,-7.348262993365986,81.49193560085112,80.19030632722693,74.74603613437873,12,8,12,0,779,fit,True,80.19030632722693,mean_rolling_3m_wmape_percent,-43.225076431564624,70_to_100,under_100
77220M74T005PK,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,117,236.0,87.64177126024002,195.2342472991128,-148.35822873976008,82.72637597420034,80.4302000067081,82.40239933481264,117,86,117,3,779,fallback_hist_poisson_xgboost_missing,True,80.4302000067081,mean_rolling_3m_wmape_percent,-62.863656245661055,70_to_100,under_100
7781163J200PG,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,202.0,208.63714722230586,157.3208214348449,6.63714722230586,77.8815947697252,81.9441830875181,75.78936166783626,157,106,162,136,779,fit,True,81.9441830875181,mean_rolling_3m_wmape_percent,3.285716446686069,70_to_100,under_100
75110M76T60R3F,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,127,52.0,92.00632529975844,102.65324499432134,40.00632529975841,197.41008652754104,82.2102117580552,78.70645138474859,46,31,127,15,779,fallback_hist_poisson_xgboost_missing,True,82.2102117580552,mean_rolling_3m_wmape_percent,76.93524096107386,70_to_100,under_100
72432M74T00000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,122,205.0,95.0125211350585,164.35315818358774,-109.9874788649415,80.17227228467694,82.50058229620969,77.68862347822855,120,88,122,13,779,fallback_hist_poisson_xgboost_missing,True,82.50058229620969,mean_rolling_3m_wmape_percent,-53.652428714605605,70_to_100,under_100
57300M74T00000,direct_extra_trees_log1p,Direct Extra Trees log1p,7,69,99.0,69.08171617994552,84.24198610556044,-29.918283820054477,85.09291525814186,82.54326671667057,80.88544813783909,65,42,69,22,779,fit,True,82.54326671667057,mean_rolling_3m_wmape_percent,-30.22048870712573,70_to_100,under_100
3845071L10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,217.0,244.1135304876181,173.3520835072653,27.11353048761811,79.88575276832502,82.71856835365502,69.41515831693148,151,120,162,136,779,fit,True,82.71856835365502,mean_rolling_3m_wmape_percent,12.494714510423092,70_to_100,under_100
