sku_id,actual_total,forecast_total,absolute_error,wmape,strategy
0915912051000,9.0,25.321025921386656,24.715930727613813,274.62145252904236,SKU classification and cold-start candidates incumbent
0940906322000,7.0,102.87988258924088,95.87988258924088,1369.7126084177269,SKU classification and cold-start candidates incumbent
0940908352000,18.0,75.8594224687978,57.8594224687978,321.44123593776555,SKU classification and cold-start candidates incumbent
35121M73T10000,17.0,15.642166194364087,17.0,100.0,SKU classification and cold-start candidates incumbent
35501M75T00000,32.0,20.311463920135026,37.52244738281093,117.25764807128417,SKU classification and cold-start candidates incumbent
35502M75T00000,29.0,20.019676372027906,34.33555128704723,118.39845271395598,SKU classification and cold-start candidates incumbent
35602M73T00000,10.0,15.59004177309661,12.393361182064407,123.93361182064407,SKU classification and cold-start candidates incumbent
36250M74T55000,7.0,17.56467736958019,12.72120014005971,181.73143057228157,SKU classification and cold-start candidates incumbent
38450M80T10000,7.0,21.40205707846256,17.399114416262698,248.5587773751814,SKU classification and cold-start candidates incumbent
39102M80T00000,9.0,33.3058904241627,24.305890424162694,270.0654491573633,SKU classification and cold-start candidates incumbent
4161552R00000,5.0,29.718255369033326,24.718255369033326,494.36510738066653,SKU classification and cold-start candidates incumbent
43250M53T0027N,36.0,24.634172760079018,17.763837518453386,49.34399310681496,SKU classification and cold-start candidates incumbent
57300M74T00000,26.0,33.55277080026045,11.502296625476955,44.23960240568059,SKU classification and cold-start candidates incumbent
57300M75T00000,15.0,21.549689339179828,17.315556951728823,115.43704634485881,SKU classification and cold-start candidates incumbent
68001M75T00000,21.0,22.238939302098263,23.38780186877079,111.37048508938472,SKU classification and cold-start candidates incumbent
68002M75T00000,17.0,21.891482944685023,17.453002654292277,102.66472149583693,SKU classification and cold-start candidates incumbent
71711M73T015PK,33.0,15.734121941238225,21.755292686253924,65.92512935228461,SKU classification and cold-start candidates incumbent
71712M69T005PK,18.0,26.619142936274162,18.655625459432507,103.64236366351392,SKU classification and cold-start candidates incumbent
71732M75T00000,22.0,21.847397561199642,17.096243943689586,77.71019974404358,SKU classification and cold-start candidates incumbent
71736M74T00000,21.0,17.930956349981635,10.92168005958775,52.00800028375119,SKU classification and cold-start candidates incumbent
71751M75T105PK,24.0,23.424376150452286,25.64671263359105,106.86130263996272,SKU classification and cold-start candidates incumbent
71761M75T105PK,24.0,23.551252870788925,31.58604831280079,131.60853463666996,SKU classification and cold-start candidates incumbent
71772M74T00000,17.0,17.79906319682693,5.365164714214028,31.559792436553106,SKU classification and cold-start candidates incumbent
