candidate_id,architecture,training_scope
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.50,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s2.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.50__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,occasional_pool
occasional_pool__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.50,hurdle,occasional_pool
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,established_transfer
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s1.00__none__b0.00,direct,established_transfer
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s1.25__none__b0.00,direct,established_transfer
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s1.50__none__b0.00,direct,established_transfer
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s1.75__none__b0.00,direct,established_transfer
established_transfer__direct_d2_fast_p135__w24__direct__p1.00__t0.00__s2.00__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s1.00__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s1.25__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s1.50__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s1.75__none__b0.00,direct,established_transfer
established_transfer__direct_d2_base_p135__w24__direct__p1.00__t0.00__s2.00__none__b0.00,direct,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s1.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s2.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.50__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.50__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.50__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p1.25__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.25,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,established_transfer
established_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s2.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.50__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.50__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.50__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s2.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.50__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p1.25__t0.00__s1.50__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,established_transfer
established_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.50,hurdle,established_transfer
occasional_pool__sba_a0.05__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.05__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.05__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.05__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.05__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.05__w24__classical__s2.00,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.10__w24__classical__s2.00,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.20__w24__classical__s2.00,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.30__w24__classical__s2.00,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.50__w24__classical__s2.00,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s0.75,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s1.00,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s1.25,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s1.50,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s1.75,classical,occasional_pool
occasional_pool__sba_a0.70__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.10_b0.05__w24__classical__s0.75,classical,occasional_pool
